word,artist,title,url,count
i,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,10257
you,drake,On BS,https://genius.com/Drake-and-21-savage-on-bs-lyrics,8600
the,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,7993
i,drake,Away From Home,,5546
a,drake,Plot Twist*,https://genius.com/Drake-plot-twist-lyrics,4885
you,drake,No Face,,4861
and,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,4788
the,drake,Away From Home,,4364
to,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,4238
me,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,4102
it,drake,Money,https://genius.com/Drake-money-lyrics,3901
my,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,3684
im,drake,Money,https://genius.com/Drake-money-lyrics,3290
that,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,3020
in,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,2928
to,drake,NOKIA,,2727
on,drake,On BS,https://genius.com/Drake-and-21-savage-on-bs-lyrics,2658
a,drake,Away From Home,,2527
me,drake,Away From Home,,2435
and,drake,NOKIA,,2398
like,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,2350
it,drake,Pound Cake / Paris Morton Music 2,,2241
yeah,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,2111
know,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,2013
my,drake,No Face,,1959
im,drake,Unforgettable,,1941
we,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,1898
up,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,1888
for,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,1884
that,drake,Middle of the Ocean,,1827
with,drake,On BS,https://genius.com/Drake-and-21-savage-on-bs-lyrics,1822
dont,drake,Money,https://genius.com/Drake-money-lyrics,1801
got,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,1752
all,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,1746
your,drake,On BS,https://genius.com/Drake-and-21-savage-on-bs-lyrics,1707
just,drake,As We Speak,https://genius.com/Yeat-as-we-speak-lyrics,1657
this,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,1629
they,drake,Money,https://genius.com/Drake-money-lyrics,1606
in,drake,No Face,,1599
on,drake,Elevate,,1590
of,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,1483
but,drake,Shopping Spree,https://genius.com/Drake-shopping-spree-lyrics,1455
is,drake,As We Speak,https://genius.com/Yeat-as-we-speak-lyrics,1433
its,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,1405
like,drake,Middle of the Ocean,,1363
yeah,drake,No Face,,1345
get,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,1310
no,drake,Throw It In The Bag (Remix),https://genius.com/Fabolous-throw-it-in-the-bag-remix-lyrics,1305
be,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,1284
do,drake,Successful (Demo),https://genius.com/Drake-successful-demo-lyrics,1259
for,drake,No Face,,1219
know,drake,7969 Santa,,1204
she,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,1180
what,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,1176
aint,drake,MÍA (Dom Da Bomb Remix),https://genius.com/Bad-bunny-and-drake-mia-dom-da-bomb-remix-lyrics,1108
so,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,1075
shit,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,1071
when,drake,Conceited vs Dumbfoundead,https://genius.com/King-of-the-dot-conceited-vs-dumbfoundead-lyrics,1043
they,drake,No Face,,1019
love,drake,Deceiving,https://genius.com/Drake-deceiving-lyrics,1014
up,drake,Away From Home,,1000
out,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,995
with,drake,Away From Home,,981
just,drake,NOKIA,,978
now,drake,Lemon (Drake Remix),https://genius.com/Nerd-and-rihanna-lemon-drake-remix-lyrics,973
dont,drake,No Face,,947
girl,drake,Conceited vs Dumbfoundead,https://genius.com/King-of-the-dot-conceited-vs-dumbfoundead-lyrics,945
all,drake,No Face,,945
we,drake,After Dark,,941
