word,artist,title,url,count
the,kendrick,Not Like Us (Mixed),https://genius.com/Kendrick-lamar-not-like-us-mixed-lyrics,15610
i,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,14153
you,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,11236
a,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,9258
and,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,7030
my,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,6919
to,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,6423
me,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,5783
it,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,5500
in,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,5410
im,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,5172
on,kendrick,Not Like Us (Mixed),https://genius.com/Kendrick-lamar-not-like-us-mixed-lyrics,4634
that,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,4350
like,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,3902
your,kendrick,Nickerson Gardens Freestyle,https://genius.com/Kendrick-lamar-nickerson-gardens-freestyle-lyrics,3513
of,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,3368
up,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,3297
with,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,3066
for,kendrick,TDE Roll Call,https://genius.com/Jay-rock-tde-roll-call-lyrics,2747
