id,label,artist,avg_sentiment_score,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score
drake - 0 to 100 / The Catch Up,0 to 100 / The Catch Up,drake,-0.08321212427083334,0.19723603456804992,0.16610173174315904,0.021111868338872786,0.049335818020457084,0.38436492792485905,0.0641979673916163,0.1176516521251566
drake - 10 Bands,10 Bands,drake,0.07632711057692308,0.16310282745577678,0.1343519013518324,0.02448982989657308,0.04634077924017145,0.3346169846257768,0.1315485839731991,0.1655490802099498
drake - 100,100,drake,-0.1627231851818182,0.18105672961206765,0.15966845883019476,0.032268603070935355,0.09241620241558515,0.37824273498051547,0.06521287756887344,0.09113438932690765
drake - 1Xtra Freestyle,1Xtra Freestyle,drake,-0.015841104468085107,0.10753245353995958,0.08494603552142194,0.0589303286012975,0.05254032962430422,0.49772760773355024,0.09792720570050652,0.1003960349071929
drake - 2 Mazza,2 Mazza,drake,-0.1879525634042553,0.195977669045765,0.07556548331210267,0.025866857276575485,0.05034825905780996,0.46535509995165025,0.08796880927253907,0.09891782860033844
drake - 2 On / Thotful,2 On / Thotful,drake,0.3145411667088608,0.10855791915231675,0.10647774707301975,0.020256728982358325,0.188310359774122,0.4212625691478577,0.05880185287398623,0.09633283185642916
drake - 20 Hoes (Remix)*,20 Hoes (Remix)*,drake,-0.022387801111111105,0.11864458810951971,0.18843977597749065,0.016016537734928192,0.07480306672967138,0.41500379182398317,0.06975636108674932,0.11733588010797066
drake - 24,24,drake,-0.006459713666666664,0.14055701436785353,0.1192534619942307,0.04032159662262222,0.06253765842605688,0.40280031291767954,0.16827165807286895,0.06625830265305312
drake - 2AM,2AM,drake,0.05812390884057971,0.21238358415987177,0.06743055557751132,0.07737143540694172,0.07087541100623056,0.3810109583849924,0.08364502807903652,0.1072830403750033
drake - 3 On,3 On,drake,0.253226785,0.1605588040733214,0.11407289845172926,0.02615385816619539,0.2005957534345996,0.425179682919716,0.04612137540243561,0.02731763971895173
drake - 30 Hours,30 Hours,drake,-0.14273184761904764,0.08708726232150742,0.07814785329225866,0.043642362414781574,0.08255390483619908,0.5279563775940221,0.057655939611694955,0.12295629569950198
drake - 30 Hours (Reference),30 Hours (Reference),drake,-0.09734502263157896,0.0651078829771569,0.09834208411140069,0.07007787400001876,0.10190890540099257,0.4786561153136733,0.07316727416994241,0.11273987455857226
drake - 30 for 30 Freestyle,30 for 30 Freestyle,drake,-0.1726938056,0.11268985288217659,0.11927735315791016,0.049811443854123304,0.05895016978494818,0.4855629792188605,0.051244640901374275,0.1224635652530317
drake - 305 to My City,305 to My City,drake,0.34524686493670886,0.21682761240561924,0.08296219642050089,0.018137725086328573,0.043950817836566396,0.5087878606223231,0.04451175526232466,0.08482202892545371
drake - 4422,4422,drake,0.2824406885714286,0.03885754641877216,0.018486168002709708,0.08085612301614929,0.008879902331890238,0.6590592429773616,0.0767504063800775,0.11711059469754603
drake - 4PM in Calabasas,4PM in Calabasas,drake,-0.2166206192753623,0.14347911959824458,0.060939263522058036,0.08995723862207719,0.05778405308197045,0.4914392546170216,0.07516361876269394,0.08123745174700579
drake - 5AM in Toronto,5AM in Toronto,drake,0.033176209090909084,0.13588148782516574,0.16392061932746205,0.03575221212293285,0.09544847118950472,0.4007642584302547,0.05710432200452703,0.11112862562753652
drake - 6 God,6 God,drake,-0.2826792614285714,0.1484388208149799,0.10719072202378546,0.02877949662277903,0.08431307083706732,0.45188344347323955,0.06386888200151064,0.11552556887701415
